matrix size: 34 	 crout: 0.004000186920166016[s] 	 doolittle: 0.00999903678894043[s] 	 cholesky: 0.005002260208129883[s]
matrix size: 80 	 crout: 0.034956932067871094[s] 	 doolittle: 0.09203338623046875[s] 	 cholesky: 0.05300140380859375[s]
matrix size: 99 	 crout: 0.07495284080505371[s] 	 doolittle: 0.1780378818511963[s] 	 cholesky: 0.09695982933044434[s]
matrix size: 45 	 crout: 0.0069997310638427734[s] 	 doolittle: 0.020000219345092773[s] 	 cholesky: 0.012009382247924805[s]
matrix size: 20 	 crout: 0.0009922981262207031[s] 	 doolittle: 0.003040790557861328[s] 	 cholesky: 0.001959562301635742[s]
matrix size: 71 	 crout: 0.024999141693115234[s] 	 doolittle: 0.0650482177734375[s] 	 cholesky: 0.03795337677001953[s]
matrix size: 30 	 crout: 0.0030367374420166016[s] 	 doolittle: 0.006996631622314453[s] 	 cholesky: 0.004001617431640625[s]
matrix size: 70 	 crout: 0.023999929428100586[s] 	 doolittle: 0.06399869918823242[s] 	 cholesky: 0.037000179290771484[s]
matrix size: 47 	 crout: 0.010965824127197266[s] 	 doolittle: 0.024035215377807617[s] 	 cholesky: 0.01299142837524414[s]
matrix size: 46 	 crout: 0.0070111751556396484[s] 	 doolittle: 0.01999807357788086[s] 	 cholesky: 0.011963605880737305[s]
matrix size: 93 	 crout: 0.05196189880371094[s] 	 doolittle: 0.13961553573608398[s] 	 cholesky: 0.08299994468688965[s]
matrix size: 32 	 crout: 0.0030095577239990234[s] 	 doolittle: 0.007998228073120117[s] 	 cholesky: 0.005001544952392578[s]
matrix size: 42 	 crout: 0.005998134613037109[s] 	 doolittle: 0.01700139045715332[s] 	 cholesky: 0.009000062942504883[s]
matrix size: 66 	 crout: 0.020002126693725586[s] 	 doolittle: 0.05499863624572754[s] 	 cholesky: 0.03696632385253906[s]
matrix size: 31 	 crout: 0.004000186920166016[s] 	 doolittle: 0.008034706115722656[s] 	 cholesky: 0.004999399185180664[s]
matrix size: 61 	 crout: 0.0149993896484375[s] 	 doolittle: 0.04500079154968262[s] 	 cholesky: 0.024962425231933594[s]
matrix size: 55 	 crout: 0.01200103759765625[s] 	 doolittle: 0.03300023078918457[s] 	 cholesky: 0.019001245498657227[s]
matrix size: 75 	 crout: 0.0279998779296875[s] 	 doolittle: 0.09096598625183105[s] 	 cholesky: 0.05104517936706543[s]
matrix size: 64 	 crout: 0.017998933792114258[s] 	 doolittle: 0.05295681953430176[s] 	 cholesky: 0.04303765296936035[s]
matrix size: 43 	 crout: 0.005995035171508789[s] 	 doolittle: 0.0169680118560791[s] 	 cholesky: 0.009995460510253906[s]
matrix size: 80 	 crout: 0.03499913215637207[s] 	 doolittle: 0.09000277519226074[s] 	 cholesky: 0.053035736083984375[s]
matrix size: 39 	 crout: 0.004004478454589844[s] 	 doolittle: 0.014957427978515625[s] 	 cholesky: 0.008000612258911133[s]
matrix size: 39 	 crout: 0.004997968673706055[s] 	 doolittle: 0.015001773834228516[s] 	 cholesky: 0.00799870491027832[s]
matrix size: 39 	 crout: 0.005000591278076172[s] 	 doolittle: 0.01299905776977539[s] 	 cholesky: 0.008000612258911133[s]
matrix size: 88 	 crout: 0.0429990291595459[s] 	 doolittle: 0.11800003051757812[s] 	 cholesky: 0.06600022315979004[s]
matrix size: 58 	 crout: 0.01399993896484375[s] 	 doolittle: 0.040000200271606445[s] 	 cholesky: 0.02200007438659668[s]
matrix size: 31 	 crout: 0.0020003318786621094[s] 	 doolittle: 0.008000373840332031[s] 	 cholesky: 0.003998994827270508[s]
matrix size: 90 	 crout: 0.04699993133544922[s] 	 doolittle: 0.14100074768066406[s] 	 cholesky: 0.08500170707702637[s]
matrix size: 83 	 crout: 0.05299854278564453[s] 	 doolittle: 0.1090383529663086[s] 	 cholesky: 0.05799579620361328[s]
matrix size: 90 	 crout: 0.04700183868408203[s] 	 doolittle: 0.13100028038024902[s] 	 cholesky: 0.07599782943725586[s]
matrix size: 57 	 crout: 0.01299428939819336[s] 	 doolittle: 0.03896951675415039[s] 	 cholesky: 0.021000146865844727[s]
matrix size: 54 	 crout: 0.010999679565429688[s] 	 doolittle: 0.03099989891052246[s] 	 cholesky: 0.018000364303588867[s]
matrix size: 98 	 crout: 0.05800008773803711[s] 	 doolittle: 0.15600013732910156[s] 	 cholesky: 0.10300278663635254[s]
matrix size: 91 	 crout: 0.07100033760070801[s] 	 doolittle: 0.1425473690032959[s] 	 cholesky: 0.07396316528320312[s]
matrix size: 77 	 crout: 0.04001283645629883[s] 	 doolittle: 0.0890345573425293[s] 	 cholesky: 0.04596233367919922[s]
matrix size: 43 	 crout: 0.007001638412475586[s] 	 doolittle: 0.016999006271362305[s] 	 cholesky: 0.009999513626098633[s]
matrix size: 85 	 crout: 0.03899979591369629[s] 	 doolittle: 0.10703635215759277[s] 	 cholesky: 0.06499934196472168[s]
matrix size: 38 	 crout: 0.004000425338745117[s] 	 doolittle: 0.013000726699829102[s] 	 cholesky: 0.006972551345825195[s]
matrix size: 45 	 crout: 0.006993293762207031[s] 	 doolittle: 0.02003645896911621[s] 	 cholesky: 0.011989831924438477[s]
matrix size: 66 	 crout: 0.01898789405822754[s] 	 doolittle: 0.05302095413208008[s] 	 cholesky: 0.03199934959411621[s]
matrix size: 94 	 crout: 0.055962562561035156[s] 	 doolittle: 0.14603638648986816[s] 	 cholesky: 0.09000086784362793[s]
matrix size: 27 	 crout: 0.001964092254638672[s] 	 doolittle: 0.0069997310638427734[s] 	 cholesky: 0.004000425338745117[s]
matrix size: 95 	 crout: 0.05599832534790039[s] 	 doolittle: 0.1450042724609375[s] 	 cholesky: 0.08403325080871582[s]
matrix size: 43 	 crout: 0.0060002803802490234[s] 	 doolittle: 0.018000364303588867[s] 	 cholesky: 0.010993003845214844[s]
matrix size: 72 	 crout: 0.02600860595703125[s] 	 doolittle: 0.06800150871276855[s] 	 cholesky: 0.03999495506286621[s]
matrix size: 66 	 crout: 0.01999664306640625[s] 	 doolittle: 0.05407428741455078[s] 	 cholesky: 0.031036853790283203[s]
matrix size: 34 	 crout: 0.003003835678100586[s] 	 doolittle: 0.008995771408081055[s] 	 cholesky: 0.0059986114501953125[s]
matrix size: 93 	 crout: 0.052999019622802734[s] 	 doolittle: 0.1459660530090332[s] 	 cholesky: 0.08103322982788086[s]
matrix size: 65 	 crout: 0.01899266242980957[s] 	 doolittle: 0.0510106086730957[s] 	 cholesky: 0.03000044822692871[s]
matrix size: 37 	 crout: 0.003995418548583984[s] 	 doolittle: 0.012006521224975586[s] 	 cholesky: 0.006993770599365234[s]
matrix size: 56 	 crout: 0.012964487075805664[s] 	 doolittle: 0.03603482246398926[s] 	 cholesky: 0.019999980926513672[s]
matrix size: 64 	 crout: 0.019001483917236328[s] 	 doolittle: 0.05000114440917969[s] 	 cholesky: 0.0339655876159668[s]
matrix size: 25 	 crout: 0.0019991397857666016[s] 	 doolittle: 0.005000114440917969[s] 	 cholesky: 0.003000497817993164[s]
matrix size: 32 	 crout: 0.004000425338745117[s] 	 doolittle: 0.010999679565429688[s] 	 cholesky: 0.005003690719604492[s]
matrix size: 83 	 crout: 0.03699898719787598[s] 	 doolittle: 0.12100100517272949[s] 	 cholesky: 0.0689995288848877[s]
matrix size: 87 	 crout: 0.056998252868652344[s] 	 doolittle: 0.11661863327026367[s] 	 cholesky: 0.06750822067260742[s]
matrix size: 98 	 crout: 0.062026023864746094[s] 	 doolittle: 0.1559734344482422[s] 	 cholesky: 0.09000062942504883[s]
matrix size: 25 	 crout: 0.0010364055633544922[s] 	 doolittle: 0.0050008296966552734[s] 	 cholesky: 0.001999378204345703[s]
matrix size: 60 	 crout: 0.014963150024414062[s] 	 doolittle: 0.041014671325683594[s] 	 cholesky: 0.02402329444885254[s]
matrix size: 68 	 crout: 0.020991802215576172[s] 	 doolittle: 0.057969093322753906[s] 	 cholesky: 0.03300023078918457[s]
matrix size: 76 	 crout: 0.0390019416809082[s] 	 doolittle: 0.08204340934753418[s] 	 cholesky: 0.04595685005187988[s]
matrix size: 42 	 crout: 0.00899958610534668[s] 	 doolittle: 0.019000768661499023[s] 	 cholesky: 0.011999845504760742[s]
matrix size: 97 	 crout: 0.05999588966369629[s] 	 doolittle: 0.16000127792358398[s] 	 cholesky: 0.0890357494354248[s]
matrix size: 80 	 crout: 0.036028385162353516[s] 	 doolittle: 0.10997414588928223[s] 	 cholesky: 0.06399989128112793[s]
matrix size: 40 	 crout: 0.0069959163665771484[s] 	 doolittle: 0.017000913619995117[s] 	 cholesky: 0.009999990463256836[s]
matrix size: 61 	 crout: 0.023997783660888672[s] 	 doolittle: 0.042037010192871094[s] 	 cholesky: 0.02499079704284668[s]
matrix size: 56 	 crout: 0.013009071350097656[s] 	 doolittle: 0.03400087356567383[s] 	 cholesky: 0.02096247673034668[s]
matrix size: 67 	 crout: 0.0200350284576416[s] 	 doolittle: 0.05800151824951172[s] 	 cholesky: 0.03200078010559082[s]
matrix size: 92 	 crout: 0.05099987983703613[s] 	 doolittle: 0.14200067520141602[s] 	 cholesky: 0.09203553199768066[s]
matrix size: 41 	 crout: 0.005963325500488281[s] 	 doolittle: 0.017001867294311523[s] 	 cholesky: 0.011001825332641602[s]
matrix size: 74 	 crout: 0.03899860382080078[s] 	 doolittle: 0.09300041198730469[s] 	 cholesky: 0.04899883270263672[s]
matrix size: 94 	 crout: 0.05303025245666504[s] 	 doolittle: 0.16097116470336914[s] 	 cholesky: 0.09899711608886719[s]
matrix size: 30 	 crout: 0.0019996166229248047[s] 	 doolittle: 0.008001327514648438[s] 	 cholesky: 0.003999948501586914[s]
matrix size: 24 	 crout: 0.002000093460083008[s] 	 doolittle: 0.003999471664428711[s] 	 cholesky: 0.0020346641540527344[s]
matrix size: 51 	 crout: 0.009965896606445312[s] 	 doolittle: 0.0279996395111084[s] 	 cholesky: 0.0160367488861084[s]
matrix size: 32 	 crout: 0.001997709274291992[s] 	 doolittle: 0.007999181747436523[s] 	 cholesky: 0.004965782165527344[s]
matrix size: 60 	 crout: 0.016036033630371094[s] 	 doolittle: 0.04200100898742676[s] 	 cholesky: 0.025962114334106445[s]
matrix size: 84 	 crout: 0.04103517532348633[s] 	 doolittle: 0.11100578308105469[s] 	 cholesky: 0.06396150588989258[s]
matrix size: 42 	 crout: 0.007998943328857422[s] 	 doolittle: 0.021003007888793945[s] 	 cholesky: 0.010997772216796875[s]
matrix size: 74 	 crout: 0.04199934005737305[s] 	 doolittle: 0.08599734306335449[s] 	 cholesky: 0.04603219032287598[s]
matrix size: 42 	 crout: 0.0059812068939208984[s] 	 doolittle: 0.017505645751953125[s] 	 cholesky: 0.010015010833740234[s]
matrix size: 97 	 crout: 0.06203269958496094[s] 	 doolittle: 0.2349681854248047[s] 	 cholesky: 0.11899852752685547[s]
matrix size: 62 	 crout: 0.020000457763671875[s] 	 doolittle: 0.08400511741638184[s] 	 cholesky: 0.03499293327331543[s]
matrix size: 50 	 crout: 0.010988950729370117[s] 	 doolittle: 0.032001495361328125[s] 	 cholesky: 0.016997814178466797[s]
matrix size: 84 	 crout: 0.04604673385620117[s] 	 doolittle: 0.14895367622375488[s] 	 cholesky: 0.07600235939025879[s]
matrix size: 81 	 crout: 0.03998589515686035[s] 	 doolittle: 0.12201595306396484[s] 	 cholesky: 0.06800508499145508[s]
matrix size: 77 	 crout: 0.04798245429992676[s] 	 doolittle: 0.14454412460327148[s] 	 cholesky: 0.06800341606140137[s]
matrix size: 68 	 crout: 0.036988019943237305[s] 	 doolittle: 0.10699844360351562[s] 	 cholesky: 0.05900239944458008[s]
matrix size: 32 	 crout: 0.00299835205078125[s] 	 doolittle: 0.00799870491027832[s] 	 cholesky: 0.006028890609741211[s]
matrix size: 90 	 crout: 0.057996273040771484[s] 	 doolittle: 0.16900324821472168[s] 	 cholesky: 0.12501001358032227[s]
